Objects
100
,,Global Angle LEDS:LEDS,,,,,,Global Angle Reflective Balls:Reflective Balls,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
140,0,0.007866,0.003956,0.273571,-97.768150,-89.498100,1369.548584,0.021961,0.007278,0.276693,-97.365311,-88.147705,1368.755127
141,0,0.008216,0.004666,0.273998,-98.133270,-89.530785,1369.630493,0.021937,0.007574,0.276518,-97.716255,-88.060829,1368.788940
142,0,-0.090861,0.006800,3.411560,-98.540504,-89.578712,1369.647827,0.022298,0.007480,0.276802,-98.056984,-87.972252,1368.803589
143,0,-0.089741,0.004707,3.411870,-98.848694,-89.582253,1369.630737,0.022381,0.007530,0.277155,-98.382660,-87.910919,1368.823364
144,0,-0.089681,0.003110,3.413476,-99.183762,-89.452461,1369.626831,0.022825,0.007552,0.277447,-98.730881,-87.831688,1368.830811
145,0,0.014644,0.005150,0.276024,-99.597351,-89.415169,1369.540283,0.022975,0.007592,0.277871,-99.084618,-87.785309,1368.869751
146,0,0.011441,0.007377,0.274672,-100.015541,-89.207199,1369.691528,0.024010,0.006923,0.279013,-99.505264,-87.642952,1368.935059
147,0,0.010640,0.007068,0.274693,-100.408936,-89.074059,1369.714966,0.023963,0.007155,0.279683,-99.859039,-87.552002,1368.943115
148,0,0.009063,0.010943,0.273974,-100.701241,-88.956512,1369.637085,0.024366,0.007065,0.280100,-100.200058,-87.474060,1368.987671
149,0,0.009391,0.007503,0.275284,-101.075150,-88.825409,1369.654541,0.024275,0.008114,0.279399,-100.449844,-87.427269,1368.958984
150,0,0.010776,0.002240,0.275745,-101.423103,-88.776939,1369.804077,0.024639,0.008557,0.279877,-100.792175,-87.358765,1368.981689
151,0,0.010471,0.007798,0.275564,-101.675484,-88.705132,1369.717773,0.024959,0.009255,0.280087,-101.163040,-87.246490,1369.008423
152,0,0.011961,0.007682,0.275765,-101.986549,-88.585030,1369.713013,0.025215,0.009785,0.280592,-101.499924,-87.172157,1369.009888
153,0,0.013152,0.008315,0.276027,-102.300659,-88.480240,1369.686890,0.025648,0.009945,0.281423,-101.848228,-87.107735,1369.026489
154,0,0.083635,-0.006416,-2.864327,-102.569550,-88.325211,1369.731689,0.025714,0.010073,0.281900,-102.216209,-86.982971,1369.033813
155,0,0.083303,-0.002704,-2.863546,-103.037109,-88.205093,1369.754028,0.025883,0.010202,0.282465,-102.564987,-86.918694,1369.042847
156,0,0.084079,0.000721,-2.863773,-103.189270,-88.220535,1369.577637,0.026260,0.010217,0.284956,-102.815247,-86.930733,1369.027466
157,0,-2.898692,1.156965,-0.079991,-103.498039,-88.194122,1369.472412,0.026635,0.009397,0.286668,-103.232986,-86.855896,1369.057129
158,0,-2.903662,1.160954,-0.076628,-103.986412,-88.248291,1369.651245,0.027092,0.009972,0.287768,-103.567368,-86.828247,1369.037720
159,0,-2.900135,1.153833,-0.081986,-104.247345,-88.274300,1369.468262,0.027251,0.009992,0.288722,-103.886414,-86.777824,1368.989746
160,0,0.077648,-0.006989,-2.857198,-104.706322,-88.357674,1369.547485,0.025488,0.009654,0.289776,-104.165443,-86.855843,1369.035278
161,0,0.072734,-0.002450,-2.853955,-105.117134,-88.325844,1369.559448,0.028325,0.009822,0.287920,-104.587799,-86.651093,1368.870361
162,0,0.075589,-0.005038,-2.853782,-105.389694,-88.359650,1369.443359,0.028596,0.011033,0.289196,-104.933800,-86.641762,1368.773560
163,0,0.081357,-0.002359,-2.851462,-105.812843,-88.429810,1369.434937,0.028428,0.011627,0.290285,-105.307068,-86.626465,1368.684204
164,0,0.083653,-0.002569,-2.852652,-106.076080,-88.402359,1369.289307,0.028525,0.012027,0.291032,-105.395508,-86.858131,1368.542969
